,blue,blue,green,green,red,red,yellow,yellow
,mu,sigma,mu,sigma,mu,sigma,mu,sigma
0,,,[0.64869283 0.91666667 0.23692811],[0.17108858 0.20138889 0.18050803],,,[0.9003268  0.9003268  0.76960785],[0.19871898 0.19871898 0.18120435]
1,[0.5 0.5 0.5],[1. 1. 1.],[0.64869283 0.91666667 0.23692811],[0.17108858 0.20138889 0.18050803],[0.50098041 0.25       0.25      ],[0.50000096 0.5625     0.5625    ],[0.9003268  0.9003268  0.76960785],[0.19871898 0.19871898 0.18120435]
2,[0.5 0.5 0.5],[1. 1. 1.],[0.64869283 0.91666667 0.23692811],[0.17108858 0.20138889 0.18050803],[0.66988797 0.15000001 0.15000001],[0.07618367 0.08202381 0.08202381],[0.9003268  0.9003268  0.76960785],[0.19871898 0.19871898 0.18120435]
3,[0.44607843 0.54215688 0.71470588],[0.50290754 0.5017772  0.54609862],[0.64869283 0.91666667 0.23692811],[0.17108858 0.20138889 0.18050803],[0.64346407 0.12407408 0.12407408],[0.06329969 0.06688957 0.06688957],[0.9003268  0.9003268  0.76960785],[0.19871898 0.19871898 0.18120435]
4,[0.2372549  0.27568628 0.54941177],[0.23023453 0.2480486  0.23665421],[0.64869283 0.91666667 0.23692811],[0.17108858 0.20138889 0.18050803],[0.65760973 0.11381887 0.12875817],[0.05958971 0.05816022 0.05922313],[0.9003268  0.9003268  0.76960785],[0.19871898 0.19871898 0.18120435]
5,[0.23755642 0.27562947 0.54958097],[0.23037224 0.24800287 0.23663395],[0.64869963 0.91665955 0.23692352],[0.17108766 0.20138761 0.18050562],[0.62768684 0.09193764 0.10400493],[0.05189591 0.04899086 0.05041218],[0.93235238 0.93235238 0.7911761 ],[0.12077127 0.12077127 0.10942167]
6,[0.39820904 0.23610509 0.58918527],[0.24054436 0.18206034 0.17653417],[0.64869963 0.91665955 0.23692352],[0.17108766 0.20138761 0.18050562],[0.62768684 0.09193764 0.10400493],[0.05189591 0.04899086 0.05041218],[0.93235238 0.93235238 0.7911761 ],[0.12077127 0.12077127 0.10942167]
7,[0.41529232 0.27072878 0.52866874],[0.22861755 0.14916435 0.13572795],[0.62478117 0.94741112 0.40017404],[0.09400788 0.11098357 0.13043998],[0.66620463 0.0824262  0.09324506],[0.05938406 0.04470648 0.04620007],[0.95490176 0.95490176 0.82026142],[0.08153081 0.08153081 0.07463939]
8,[0.41529232 0.27072878 0.52866874],[0.22861755 0.14916435 0.13572795],[0.57271657 0.91029062 0.36682653],[0.11599223 0.11689243 0.13180284],[0.66620463 0.0824262  0.09324506],[0.05938406 0.04470648 0.04620007],[0.95649492 0.95649492 0.82046567],[0.07647317 0.07647317 0.06997502]
9,[0.36812419 0.31220509 0.63268136],[0.16672542 0.10942697 0.12178162],[0.57271657 0.91029062 0.36682653],[0.11599223 0.11689243 0.13180284],[0.6998992  0.08174133 0.11759771],[0.05469038 0.03704435 0.04114583],[0.95915019 0.95915019 0.82080609],[0.0680325 0.0680325 0.0622009]
10,[0.36812419 0.31220509 0.63268136],[0.16672542 0.10942697 0.12178162],[0.57271657 0.91029062 0.36682653],[0.11599223 0.11689243 0.13180284],[0.6998992  0.08174133 0.11759771],[0.05469038 0.03704435 0.04114583],[0.95915019 0.95915019 0.82080609],[0.0680325 0.0680325 0.0622009]
11,[0.36812419 0.31220509 0.63268136],[0.16672542 0.10942697 0.12178162],[0.53443967 0.8219343  0.30943404],[0.09138979 0.11109028 0.10873416],[0.6998992  0.08174133 0.11759771],[0.05469038 0.03704435 0.04114583],[0.96657747 0.96657747 0.67156783],[0.05591112 0.05591112 0.1511152 ]
12,[0.36812419 0.31220509 0.63268136],[0.16672542 0.10942697 0.12178162],[0.53443967 0.8219343  0.30943404],[0.09138979 0.11109028 0.10873416],[0.6998992  0.08174133 0.11759771],[0.05469038 0.03704435 0.04114583],[0.96657747 0.96657747 0.67156783],[0.05591112 0.05591112 0.1511152 ]
13,[0.36812419 0.31220509 0.63268136],[0.16672542 0.10942697 0.12178162],[0.53443967 0.8219343  0.30943404],[0.09138979 0.11109028 0.10873416],[0.6998992  0.08174133 0.11759771],[0.05469038 0.03704435 0.04114583],[0.96657747 0.96657747 0.67156783],[0.05591112 0.05591112 0.1511152 ]
14,[0.36812419 0.31220509 0.63268136],[0.16672542 0.10942697 0.12178162],[0.53443967 0.8219343  0.30943404],[0.09138979 0.11109028 0.10873416],[0.6998992  0.08174133 0.11759771],[0.05469038 0.03704435 0.04114583],[0.96657747 0.96657747 0.67156783],[0.05591112 0.05591112 0.1511152 ]
15,[0.36812419 0.31220509 0.63268136],[0.16672542 0.10942697 0.12178162],[0.53443967 0.8219343  0.30943404],[0.09138979 0.11109028 0.10873416],[0.69036518 0.07732265 0.11124073],[0.05334975 0.03538351 0.03962877],[0.96657747 0.96657747 0.67156783],[0.05591112 0.05591112 0.1511152 ]
16,[0.36812419 0.31220509 0.63268136],[0.16672542 0.10942697 0.12178162],[0.54128838 0.83997634 0.34128321],[0.08161067 0.10135114 0.10476768],[0.69036518 0.07732265 0.11124073],[0.05334975 0.03538351 0.03962877],[0.97171942 0.97171942 0.70339314],[0.04745479 0.04745479 0.13343725]
17,[0.36619171 0.31817113 0.60777564],[0.15752775 0.10395377 0.12556357],[0.54128838 0.83997634 0.34128321],[0.08161067 0.10135114 0.10476768],[0.68868601 0.0715231  0.10289718],[0.05351739 0.03314439 0.03751496],[0.97171942 0.97171942 0.70339314],[0.04745479 0.04745479 0.13343725]
18,[0.36619171 0.31817113 0.60777564],[0.15752775 0.10395377 0.12556357],[0.54128838 0.83997634 0.34128321],[0.08161067 0.10135114 0.10476768],[0.68868601 0.0715231  0.10289718],[0.05351739 0.03314439 0.03751496],[0.97171942 0.97171942 0.70339314],[0.04745479 0.04745479 0.13343725]
